clip_id,sentence
--8pSDeC-fg_0-5-rgb_front,Hi.
--8pSDeC-fg_1-5-rgb_front,My name is Dr. Art Bowler.
--8pSDeC-fg_7-5-rgb_front,How do you feel about yourself?
--8pSDeC-fg_8-5-rgb_front,What do you see?
--dANj_01AU_13-5-rgb_front,So we're going to start again on this one.
--dANj_01AU_16-5-rgb_front,Be very mindful of that.
--dANj_01AU_20-5-rgb_front,Back and forth.
-06_nJnhORg_1-5-rgb_front,But things just don't go right from the very beginning.
-06_nJnhORg_19-5-rgb_front,"And, so, that was kind of tough."
-06_nJnhORg_21-5-rgb_front,"So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better."
-0BynF9TSNI_11-5-rgb_front,The kids will love you for it.
-0BynF9TSNI_13-5-rgb_front,I hope you make it.
-0BynF9TSNI_5-5-rgb_front,I mean this is nice.
-0BynF9TSNI_8-5-rgb_front,I'm going to show you all the ingredients of this recipe.
-0BynF9TSNI_9-5-rgb_front,"This is at least 60, 70s years old I think."
-0FA6OhxZSE_0-5-rgb_front,DAVID CLEMEN: Hi.
-0JdYlTf9Y8_11-5-rgb_front,"It's really, what you get for your dollar."
-0JdYlTf9Y8_3-5-rgb_front,This is a forty-eight inch trophy.
-0N0jbyBW6g_0-5-rgb_front,Hello.
-0N0jbyBW6g_10-5-rgb_front,My name is Daniel King.
-0N0jbyBW6g_11-5-rgb_front,Thank you.
-0daC3SWCPQ_0-5-rgb_front,Hello!
-0oP2H0vAGY_2-5-rgb_front,The more the merrier.
-0yRaqY7nTE_0-5-rgb_front,Hi.
-1KpdDGPCq4_1-5-rgb_front,Let's go ahead and put some ice in a glass.
-1KpdDGPCq4_4-5-rgb_front,And we'll just fill it up with pineapple juice.
-1PeVdIwiq0_1-8-rgb_front,Today we're going to be talking about buying a new car.
-1PeVdIwiq0_25-8-rgb_front,"Remember, don't be afraid to ask."
-1PeVdIwiq0_26-8-rgb_front,Negotiating is why you're there.
-1XUnputrgk_0-5-rgb_front,"Okay, another thing that for me is important."
-1XUnputrgk_1-5-rgb_front,It may not be for you.
-1XUnputrgk_11-5-rgb_front,"You have little masks, they're just paper masks."
-1XUnputrgk_12-5-rgb_front,You can get them at Home Depot or Lowes.
-1XUnputrgk_13-5-rgb_front,And they're actually called painters masks.
-1XUnputrgk_15-5-rgb_front,But they're very affordable.
-1XUnputrgk_17-5-rgb_front,So make sure you.
-1XUnputrgk_19-5-rgb_front,"You know, it protects your health when you're cleaning."
-1XUnputrgk_23-5-rgb_front,So I would recommend having a mask on hand.
-1XUnputrgk_7-5-rgb_front,"Especially you know when, I'm pregnant."
-1XUnputrgk_9-5-rgb_front,And men too that clean bathrooms.
-1fUFbij2s0_29-5-rgb_front,You would do that for a little while.
-1fUFbij2s0_3-5-rgb_front,That's when accidents happen.
-1fUFbij2s0_32-5-rgb_front,You see chefs do this.
-1fUFbij2s0_33-5-rgb_front,That's just refining the edge.
-1fUFbij2s0_37-5-rgb_front,See you then.
-1fUFbij2s0_7-5-rgb_front,Believe me.
-1rM0t5FMiE_0-5-rgb_front,We're doing the scissoring now.
-1rM0t5FMiE_5-5-rgb_front,It makes for a nice little leg here.
-1rM0t5FMiE_8-5-rgb_front,It makes for a nice scissor leg.
-23PZTqtDBw_0-5-rgb_front,Off-season training for football.
-23PZTqtDBw_1-5-rgb_front,Isolated plank dog pointers.
-23PZTqtDBw_7-5-rgb_front,So touch and full extension out.
-23PZTqtDBw_8-5-rgb_front,Alright?
-3bw4dQEyF8_7-5-rgb_front,I'm Captain Joe Bruni.
-3bw4dQEyF8_8-5-rgb_front,"Stay safe, and we'll see you next time."
-3sFcDBFxc8_12-5-rgb_front,And these tend to work better.
-3sFcDBFxc8_13-5-rgb_front,We'll go ahead and see if its not too windy.
-3sFcDBFxc8_14-5-rgb_front,We've got a flame in there.
-3sFcDBFxc8_15-5-rgb_front,It looks like its catching.
-4Sl9mPOlfA_3-3-rgb_front,Cover everything.
-4Sl9mPOlfA_5-3-rgb_front,And then we'll brush it out a little bit.
-4Sl9mPOlfA_6-3-rgb_front,That looks pretty good.
-6PULg1jlpc_3-5-rgb_front,"Well, today I'm going to show you how."
-6PULg1jlpc_9-5-rgb_front,Removing makeup is vital.
-6PZkp-zC78_1-5-rgb_front,Now this is a petunia variety called Wave.
-6YYqn8lplg_13-5-rgb_front,And then you need to continue stepping off your floor.
-6vHGMCTYyI_10-5-rgb_front,What did you get out of that?
-6vHGMCTYyI_9-5-rgb_front,"Don't just think in terms of ""well I worked here""."
-7BtY3iQIdo_10-8-rgb_front,"So, you want to put pressure."
-7BtY3iQIdo_11-8-rgb_front,Release pressure and pull up.
-7BtY3iQIdo_12-8-rgb_front,"Squeeze, release and pull up."
-7BtY3iQIdo_14-8-rgb_front,"And, then we'll move onto the cake."
-7BtY3iQIdo_16-8-rgb_front,"And, you're going to place them right on that border and go all the way around the cake."
-7BtY3iQIdo_18-8-rgb_front,Releasing pressure before you pull up.
-7BtY3iQIdo_2-8-rgb_front,It's just a regular writing tip.
-7BtY3iQIdo_22-8-rgb_front,"And, then just a little dot there for the tie."
-7BtY3iQIdo_3-8-rgb_front,"And, how you make pearls is you want to twist your bag."
-7BtY3iQIdo_4-8-rgb_front,Make it nice and tight.
-7BtY3iQIdo_5-8-rgb_front,"And, you'll make little dots."
-7H7ZHO_4Ao_6-8-rgb_front,The same principle applies to children.
-7ZqO3skAxk_3-8-rgb_front,"""You can never take it back."""
-7ZqO3skAxk_4-8-rgb_front,So once the words are out there they are out there.
-7ZqO3skAxk_5-8-rgb_front,So think about what you're going to say before you say it.
-88OcTs9MPs_5-8-rgb_front,They are not good for you.
-88OcTs9MPs_6-8-rgb_front,So that is how to get the paint smell out of your house.
-8AYi1n0UWo_1-8-rgb_front,"If your turtle won't eat, that's the topic of this one, this discussion here."
-8AYi1n0UWo_10-8-rgb_front,"So if you have one that has this disease, you need to keep 'em separate."
-8AYi1n0UWo_7-8-rgb_front,It makes them weak and sick.
-8EJ9aomFAc_5-8-rgb_front,You can get rid of all of that old wrapping paper.
-8EJ9aomFAc_8-8-rgb_front,And I will go ahead and just place my hat on and say thank you.
-8L6L9fFWK8_0-8-rgb_front,Hi.
-8L6L9fFWK8_8-8-rgb_front,I didn't have to run around.
-8XxBfXAzyo_18-8-rgb_front,What she's displaying is the angry colors.
-8j9K3T5lkw_0-8-rgb_front,DR. CHRIS MANGO: Hi.
-8j9K3T5lkw_6-8-rgb_front,Let's take a look.
-8smPvP08mU_12-8-rgb_front,Everything falls into place after that.
-8tIt1vEinQ_10-8-rgb_front,Okay.
-8tIt1vEinQ_11-8-rgb_front,What colors do you think going to look good with it?
-8tIt1vEinQ_14-8-rgb_front,Yeah sure they look good together.
-8tIt1vEinQ_16-8-rgb_front,What about pink?
-8tIt1vEinQ_17-8-rgb_front,Does pink look good with brown?
-8tIt1vEinQ_18-8-rgb_front,Yes it does.
-8tIt1vEinQ_19-8-rgb_front,It looks very good with brown.
-8tIt1vEinQ_23-8-rgb_front,So don't be afraid to put colors together.
-8tIt1vEinQ_24-8-rgb_front,"Pink and brown, do something cool with the brown letters with a pink background and it'll look nice."
-8tIt1vEinQ_25-8-rgb_front,Thank you.
-8tIt1vEinQ_3-8-rgb_front,And you'll see that I have multiple air brushes.
-8tIt1vEinQ_4-8-rgb_front,At one time I had an air brush on every color.
-8tIt1vEinQ_7-8-rgb_front,Just find out what colors look good together with it.
-8tIt1vEinQ_8-8-rgb_front,I just draw a line of it.
-8tIt1vEinQ_9-8-rgb_front,Right in the middle.
-8uwu59w8QE_0-8-rgb_front,Hi!
-8uwu59w8QE_12-8-rgb_front,I suggest you getting a vending coordinator.
-8uwu59w8QE_15-8-rgb_front,Stay with me.
-8uwu59w8QE_3-8-rgb_front,How to work with vendors and what they are all about.
-8uwu59w8QE_4-8-rgb_front,"When you go to a festival, you will also often see vendors."
-916rCqIrfY_3-5-rgb_front,A side kick is a good technique.
-916rCqIrfY_6-5-rgb_front,"One, two."
-916rCqIrfY_7-5-rgb_front,"(demo) One, two, three, four."
-96cWDhR4hc_11-5-rgb_front,You don't notice them as much.
-98tdkCF-sY_9-5-rgb_front,Thank you very much.
-9D6kP1TgbY_0-8-rgb_front,"Okay, the eyes are basically done."
-9D6kP1TgbY_1-8-rgb_front,This is our perfect eye look for Goth.
-9D6kP1TgbY_12-8-rgb_front,You really want to make sure that you don't forget your eyebrows.
-9D6kP1TgbY_14-8-rgb_front,Add a little more if you want to.
-9D6kP1TgbY_15-8-rgb_front,It's all personal preference.
-9D6kP1TgbY_19-8-rgb_front,Even everything out.
-9D6kP1TgbY_2-8-rgb_front,We're going to do a little bit in the brows.
-9D6kP1TgbY_20-8-rgb_front,Blend everything.
-9D6kP1TgbY_22-8-rgb_front,Look how perfect that brow looks.
-9D6kP1TgbY_3-8-rgb_front,Her brows are pretty light.
-9D6kP1TgbY_4-8-rgb_front,"They're nicely shaped, but they're pretty light."
-9D6kP1TgbY_6-8-rgb_front,I'm using a powder and a brush.
-9D6kP1TgbY_7-8-rgb_front,You can use a pencil.
-9D6kP1TgbY_8-8-rgb_front,It's all personal preference.
-9GV_-VRpt8_5-8-rgb_front,That's the first thing in finishing.
-9Kic0QsCYs_0-8-rgb_front,ALLEN DIWAN: Hi.
-9Kic0QsCYs_1-8-rgb_front,My name is Allen Diwan.
-9Kic0QsCYs_11-8-rgb_front,You'll see the different flavors.
-9KqRMBAAsA_9-3-rgb_front,Plug it in and you're ready to go.
-9TmNCFEtDo_8-8-rgb_front,That is the mascara brush and that's how you use it.
-9_jI7kWiQY_4-8-rgb_front,Make sure that there's no big chunks kind of laying in weight down there.
-9nBmSvp2Co_1-8-rgb_front,It was in there about twenty five minutes or so.
-9nBmSvp2Co_10-8-rgb_front,"Tastes dearly, ooh, okay."
-9nBmSvp2Co_12-8-rgb_front,"Again, put it in the freezer if you need to."
-9nBmSvp2Co_18-8-rgb_front,So just keep that in mind.
-9nBmSvp2Co_3-8-rgb_front,You'll see that it's not even.
-9nBmSvp2Co_5-8-rgb_front,But that's okay.
-9nBmSvp2Co_9-8-rgb_front,That's okay.
-9umTJVGSqk_5-8-rgb_front,Take it in.
-AFID_P6YU0_11-8-rgb_front,"But I found with all bulbs, they like to be in groups just like people do."
-AFID_P6YU0_13-8-rgb_front,"They'll do a lot more water, too."
-AFID_P6YU0_14-8-rgb_front,"I put 'em in some of the boggier areas in my yard and they've done well, too."
-AFID_P6YU0_15-8-rgb_front,And it'll do well in drought conditions.
-AFID_P6YU0_17-8-rgb_front,Just a beautiful plant.
-AFID_P6YU0_18-8-rgb_front,Sometimes they're called Montbretia.
-AFID_P6YU0_3-8-rgb_front,I love Crocosmia Lucifer.
-AFID_P6YU0_9-8-rgb_front,So the bullseye side goes up.
-AKdG2AyDW4_1-8-rgb_front,Nice brush.
-AKdG2AyDW4_10-8-rgb_front,Now this is going to be more detail put on.
-AKdG2AyDW4_12-8-rgb_front,But that also means the paint could be a little thin.
-AKdG2AyDW4_2-8-rgb_front,I generally recommend being 2 to 3 inches wide.
-AKdG2AyDW4_3-8-rgb_front,And what we're going to do is you notice that the line here is really blocky.
-AKdG2AyDW4_4-8-rgb_front,Horizon lines don't look like this.
-AKdG2AyDW4_5-8-rgb_front,That's okay though.
-AKdG2AyDW4_6-8-rgb_front,Because what we're going to do.
-AKdG2AyDW4_8-8-rgb_front,See like this nice rise and fall I'm getting?
-AP1d_fHmeM_4-8-rgb_front,"Flaming Giraffe, bottoms up."
-AVtT8Kl-fs_16-8-rgb_front,We'll take our measuring tool.
-AVtT8Kl-fs_22-8-rgb_front,We have completed the lower part the base and the top part.
-AZVqXtWGg0_11-8-rgb_front,That's the key point I'm trying to make.
-AZVqXtWGg0_13-8-rgb_front,Set the blade in the corner.
-AZVqXtWGg0_14-8-rgb_front,Slowly drag.
-AZVqXtWGg0_16-8-rgb_front,So what I'll do is repeat the process.
-AZVqXtWGg0_18-8-rgb_front,Two scores.
-AZVqXtWGg0_19-8-rgb_front,Turn this back.
-AZVqXtWGg0_20-8-rgb_front,Then you can see that it separated on the second score.
-AZVqXtWGg0_23-8-rgb_front,And this is being really feisty.
-AZVqXtWGg0_24-8-rgb_front,There we go.
-AZVqXtWGg0_26-8-rgb_front,So I'm going to set that there.
-AZVqXtWGg0_28-8-rgb_front,You can get that at your art store as well.
-AZVqXtWGg0_7-8-rgb_front,They're very sharp.
-Aiz9jYxt4g_10-8-rgb_front,So this is my favorite choice of sponges.
-Aiz9jYxt4g_3-8-rgb_front,"They're very inexpensive, easy to get."
-Aiz9jYxt4g_4-8-rgb_front,Sponges are a real personal choice as well.
-Aiz9jYxt4g_5-8-rgb_front,You've got natural and synthetic.
-Aiz9jYxt4g_7-8-rgb_front,Synthetics are just obviously rough.
-Ajh5HDqsi4_0-8-rgb_front,Hi!
-Ajh5HDqsi4_5-8-rgb_front,There are several reasons why it is so critical.
-B0GueDqaoY_10-8-rgb_front,Or even pictures in the paper.
-B0GueDqaoY_12-8-rgb_front,I've done that too.
-B0GueDqaoY_14-8-rgb_front,So those are some of the ways that you can use to start with.
-B0GueDqaoY_9-8-rgb_front,Whatever you might learn.
-BABPsEWA54_12-3-rgb_front,I take my one by one cardboard.
-BABPsEWA54_14-3-rgb_front,Start with my left side.
-BABPsEWA54_16-3-rgb_front,"So, I'll show you it again on the right side."
-BABPsEWA54_17-3-rgb_front,Here we go.
-BABPsEWA54_19-3-rgb_front,"So, they're matching there."
-BABPsEWA54_20-3-rgb_front,I have two sides going right down here.
-BABPsEWA54_21-3-rgb_front,I've made a fold.
-BABPsEWA54_23-3-rgb_front,I'm moving the cardboard up.
-BABPsEWA54_27-3-rgb_front,Look at that.
-BABPsEWA54_3-3-rgb_front,"So, get yourself a flat surface."
-BABPsEWA54_6-3-rgb_front,"Now, I'll show you what to do with that in a minute."
-BFCJ9zmfOo_10-8-rgb_front,"Oh, that's pretty good."
-BFCJ9zmfOo_11-8-rgb_front,You see what I'm doing here?
-BFCJ9zmfOo_13-8-rgb_front,"I mean, look at this."
-BFCJ9zmfOo_14-8-rgb_front,Wow.
-BFCJ9zmfOo_15-8-rgb_front,That's nice.
-BFCJ9zmfOo_17-8-rgb_front,Nice.
-BFCJ9zmfOo_19-8-rgb_front,And this is our chocolate cracker.
-BFCJ9zmfOo_20-8-rgb_front,"And as I said, I don't use oil."
-BFCJ9zmfOo_26-8-rgb_front,And of course we used the coconut butter that was a lot of the oil.
-BFCJ9zmfOo_28-8-rgb_front,And now we're going to go over to the dehydrator.
-BFCJ9zmfOo_3-8-rgb_front,Okay.
-BFCJ9zmfOo_5-8-rgb_front,Doing a little spiritual work on my cracker.
-BFCJ9zmfOo_6-8-rgb_front,Everybody's a healer in Sedona.
-BFCJ9zmfOo_7-8-rgb_front,"Okay, so we're going to start work."
-BFCJ9zmfOo_9-8-rgb_front,And there we go; it's coming off nicely.
-BKq3iOBB9k_1-3-rgb_front,"Okay, I'm giving my speech with my note cards."
-BKq3iOBB9k_11-3-rgb_front,You can't hold that in front of your face.
-BKq3iOBB9k_18-3-rgb_front,"Visualize success, remember."
-BKq3iOBB9k_22-3-rgb_front,That way they can keep your organized.
-BKq3iOBB9k_6-3-rgb_front,That's one.
-BKq3iOBB9k_8-3-rgb_front,I'm ready to go.
